iter	PRAUC	Logloss
0	0.4131994719	0.6136890632
1	0.3202634207	0.5498649641
2	0.3453609094	0.4981310345
3	0.3484243579	0.4574246036
4	0.3502987531	0.4248349709
5	0.3517782716	0.3987596774
6	0.3516821574	0.3782853874
7	0.3563764265	0.3614810839
8	0.3593424588	0.3480513265
9	0.3582940322	0.3370374566
10	0.3580293363	0.328028656
11	0.3601477618	0.3203281121
12	0.3601255993	0.3139890788
13	0.3608562442	0.3086422994
14	0.3617765736	0.3040066791
15	0.3640262659	0.2999856042
16	0.3638225572	0.2965682889
17	0.3658013125	0.2934253311
18	0.3658914887	0.2909016739
19	0.3689367654	0.2887030277
20	0.3707014725	0.28658049
21	0.3711009999	0.2846848926
22	0.371312803	0.2829545087
23	0.3719902164	0.2815009852
24	0.3718018126	0.2800818179
25	0.373385683	0.2789236855
26	0.3733022674	0.2777938183
27	0.3734931194	0.2767457032
28	0.3743330818	0.2758041829
29	0.3743803456	0.2750524117
30	0.3746194081	0.2743014291
31	0.375255571	0.2735814833
32	0.375868428	0.2728906598
33	0.3767058521	0.2723147545
34	0.3769977079	0.2718248959
35	0.3771768201	0.2712875627
36	0.3773472072	0.2708128321
37	0.3773888134	0.2703722659
38	0.378135151	0.2699760037
39	0.3780994081	0.2696277523
40	0.3781052307	0.2692350604
41	0.378117778	0.2689314695
42	0.3789548461	0.2686049735
43	0.3791269717	0.268301598
44	0.379290828	0.2680061148
45	0.3791195686	0.2677996189
46	0.3794511413	0.2675692028
47	0.3796634109	0.2672836401
48	0.380068617	0.2670949508
49	0.3800576346	0.266849461
50	0.3802587932	0.2666254282
51	0.3804496769	0.266450102
52	0.3804931168	0.2662790471
53	0.3806663539	0.266096603
54	0.3818024265	0.2659351101
55	0.382611515	0.2657938864
56	0.3826215817	0.2656351436
57	0.382897797	0.2655229523
58	0.3828463232	0.2654206057
59	0.3828917511	0.2652868547
60	0.3828460688	0.2651391083
61	0.3831122683	0.265036357
62	0.383112076	0.2649570156
63	0.3833220215	0.264814819
64	0.3834786276	0.2647034704
65	0.3840153379	0.2646191589
66	0.3840771169	0.2645140275
67	0.3842575879	0.2644408319
68	0.3842717928	0.264351041
69	0.3844009318	0.2642495655
70	0.3846069249	0.2641895342
71	0.3851652338	0.2640965323
72	0.3858006118	0.2640213467
73	0.3858568729	0.2639648846
74	0.3859816777	0.2638974665
75	0.3859661017	0.2638246653
76	0.3862658868	0.2637590588
77	0.3863571078	0.2636949428
78	0.3863483685	0.2636206225
79	0.3863964521	0.263581975
80	0.38649304	0.2635241982
81	0.386527173	0.2634759213
82	0.3867852806	0.263396873
83	0.3870566204	0.2633301832
84	0.3872995494	0.2632689725
85	0.3872325734	0.2632139384
86	0.3880959046	0.2631392307
87	0.3881099146	0.2630815631
88	0.3883030856	0.2630258254
89	0.3883783458	0.2629729923
90	0.3884434671	0.2628920584
91	0.388540073	0.262850877
92	0.3887558254	0.262789515
93	0.3887668598	0.262763326
94	0.3887622954	0.2627349756
95	0.3889182803	0.2626944483
96	0.38895278	0.262645931
97	0.3894734237	0.2625944156
98	0.3895353969	0.2625277767
99	0.3897688528	0.2624682716
100	0.3903019692	0.2624188712
101	0.3904659766	0.2623808999
102	0.3905530423	0.2623390654
103	0.390626823	0.2622812099
104	0.39080371	0.2622238773
105	0.3910741182	0.2621804932
106	0.3911805427	0.2621449711
107	0.3916216635	0.262095628
108	0.3917175024	0.2620575821
109	0.3918403106	0.2620352971
110	0.3921061054	0.2619815994
111	0.3924137698	0.2619432069
112	0.3925744331	0.2619022145
113	0.3927205016	0.2618637297
114	0.3927734571	0.2618288582
115	0.3928702589	0.2617766215
116	0.3930354596	0.2617460457
117	0.393076594	0.2617076576
118	0.3930852831	0.2616779839
119	0.3931412922	0.2616440878
120	0.3934894879	0.2615938863
121	0.3935067958	0.261559491
122	0.3940054208	0.2615102444
123	0.3940969902	0.2614712632
124	0.3941544799	0.2614490906
125	0.3941166253	0.2614228196
126	0.3942093863	0.2613864202
127	0.3942543113	0.2613682536
128	0.3944720256	0.2613359728
129	0.394679228	0.2612891688
130	0.3947793502	0.2612672822
131	0.3948515009	0.2612369524
132	0.3948697755	0.2612182637
133	0.3949229307	0.2611864562
134	0.3949680511	0.2611639767
135	0.3949506522	0.2611456487
136	0.3950416889	0.2611170627
137	0.395163066	0.2610839491
138	0.395234923	0.2610577725
139	0.3956805283	0.2610218719
140	0.3957773041	0.2610000463
141	0.3959132399	0.2609711503
142	0.3960069976	0.2609501456
143	0.3965681353	0.2608991482
144	0.3966115069	0.2608799544
145	0.39672264	0.2608501075
146	0.3967793863	0.2608233609
147	0.3969579229	0.2607889149
148	0.3971157042	0.260759113
149	0.3975844392	0.2607089494
150	0.3978104362	0.2606709411
151	0.3978342574	0.2606543963
152	0.3983375925	0.2606044697
153	0.3985019795	0.2605743848
154	0.3986478029	0.2605492759
155	0.3987125539	0.2605167262
156	0.3987671082	0.2604957608
157	0.3988831355	0.2604623251
158	0.3993489509	0.2604196359
159	0.3994913151	0.2603943881
160	0.3995733401	0.2603755751
161	0.3996867654	0.2603565695
162	0.3997032607	0.2603411159
163	0.3997929255	0.2603185949
164	0.3998853011	0.2602956536
165	0.3999303233	0.2602792957
166	0.4000238212	0.2602553615
167	0.4005028413	0.2602052734
168	0.4005112125	0.2601844884
169	0.4005894306	0.2601716249
170	0.4009878554	0.2601361002
171	0.4011364129	0.2601197694
172	0.4012033632	0.2601027767
173	0.4014121625	0.2600735389
174	0.4017549731	0.2600383689
175	0.4018137521	0.2600218453
176	0.4020190102	0.2599892751
177	0.4020390785	0.2599715802
178	0.4020979563	0.2599456883
179	0.4021333223	0.2599245319
180	0.4021934226	0.2599074128
181	0.4022915712	0.2598913505
182	0.4024298204	0.2598721526
183	0.4025634468	0.2598416401
184	0.402822071	0.2598127486
185	0.4029846259	0.2597890418
186	0.4031109241	0.259769282
187	0.4032821699	0.2597461093
188	0.4034852118	0.259720941
189	0.4035775488	0.2597007802
190	0.4035934083	0.2596745271
191	0.4036563919	0.2596561985
192	0.4037681516	0.2596382526
193	0.4037756466	0.2596202254
194	0.4038680881	0.2596075469
195	0.4040572507	0.2595873015
196	0.4042036274	0.2595709607
197	0.4043713233	0.2595476237
198	0.4044893715	0.2595340931
199	0.4045523864	0.2595194717
200	0.4046315359	0.259502084
201	0.4047032089	0.259483567
202	0.4047895577	0.2594671029
203	0.4050432627	0.2594383159
204	0.4051099803	0.2594244739
205	0.4052748096	0.2593995678
206	0.4053819806	0.2593722642
207	0.4053801811	0.2593589249
208	0.4056710716	0.2593246386
209	0.4056900544	0.2593148263
210	0.4057502959	0.2593038042
211	0.4058009112	0.2592915651
212	0.4058656166	0.259274346
213	0.4059415959	0.2592589025
214	0.406059068	0.2592311335
215	0.4061790806	0.2592138315
216	0.4062467651	0.2592036424
217	0.4062864015	0.2591788399
218	0.4063360487	0.2591676467
219	0.4066288733	0.2591361335
220	0.4067741293	0.2591154893
221	0.4070630516	0.2590829663
222	0.4070717974	0.2590700759
223	0.4070723366	0.2590502943
224	0.4070876951	0.2590393351
225	0.407137731	0.2590273363
226	0.4072723046	0.259007136
227	0.4073036978	0.2589965978
228	0.4074258277	0.2589691741
229	0.4075340835	0.2589482511
230	0.4075646589	0.2589341331
231	0.4076131648	0.2589213317
232	0.4077254339	0.258904944
233	0.4078462064	0.2588828658
234	0.4078605073	0.2588686487
235	0.4078930247	0.2588534127
236	0.4080031789	0.258828686
237	0.4081145406	0.2588111525
238	0.4081893957	0.25879791
239	0.4082644909	0.2587756574
240	0.4083687222	0.2587639514
241	0.4084593739	0.2587462339
242	0.4086878295	0.2587192151
243	0.4087370032	0.2587051773
244	0.4087877503	0.2586941155
245	0.4087842191	0.2586791322
246	0.4088338019	0.2586661639
247	0.4089290417	0.2586524171
248	0.4089890816	0.2586385525
249	0.4090403366	0.2586244878
250	0.4092070923	0.2586058412
251	0.4092636836	0.2585938235
252	0.409390646	0.2585797035
253	0.409432043	0.2585679052
254	0.409493968	0.2585545932
255	0.4095355817	0.2585426287
256	0.4096574759	0.2585234439
257	0.4098507291	0.2584969598
258	0.4098582973	0.2584831305
259	0.4099181023	0.2584673125
260	0.4099615526	0.2584564967
261	0.4101436946	0.258435566
262	0.4103091739	0.258414304
263	0.4103631284	0.2584062542
264	0.410377504	0.2583959547
265	0.4104098348	0.2583867988
266	0.410469843	0.2583710307
267	0.4105422674	0.2583597925
268	0.4107052953	0.2583354732
269	0.4107097213	0.2583254234
270	0.410772679	0.2583118466
271	0.4108219901	0.258302212
272	0.410941253	0.2582812463
273	0.4110009687	0.2582736667
274	0.4112469796	0.2582472728
275	0.4112937585	0.2582343836
276	0.4114196521	0.2582178441
277	0.41157341	0.2582002051
278	0.4116195386	0.2581885164
279	0.4117064275	0.2581723199
280	0.4119817642	0.2581446131
281	0.4120077831	0.2581364199
282	0.4120537537	0.2581191505
283	0.4121559781	0.2581038799
284	0.4122412406	0.2580929507
285	0.4123375251	0.2580806112
286	0.4123558338	0.2580682058
287	0.4123823243	0.2580550596
288	0.412406746	0.2580476769
289	0.412425532	0.2580390158
290	0.4124967184	0.2580225412
291	0.4125822535	0.2580039895
292	0.4125988381	0.2579926257
293	0.412675187	0.2579848444
294	0.4127156545	0.2579718919
295	0.4127324055	0.2579610367
296	0.412877622	0.2579395324
