iter	Passed	Remaining
0	70	63407
1	141	63412
2	229	68756
3	309	69293
4	386	69231
5	486	72429
6	571	72908
7	668	74496
8	760	75330
9	855	76117
10	947	76592
11	1095	81061
12	1254	85562
13	1407	89061
14	1562	92170
15	1725	95313
16	1886	97983
17	2044	100202
18	2213	102626
19	2397	105485
20	2592	108531
21	2789	111342
22	2991	114052
23	3163	115450
24	3375	118148
25	3571	120049
26	3676	118870
27	3769	117388
28	3878	116482
29	3976	115309
30	4067	114022
31	4162	112916
32	4257	111843
33	4347	110722
34	4445	109874
35	4543	109049
36	4641	108261
37	4742	107579
38	4838	106817
39	4943	106281
40	5051	105830
41	5157	105354
42	5263	104894
43	5362	104330
44	5480	104137
45	5609	104143
46	5789	105067
47	5971	105992
48	6151	106832
49	6402	108838
50	6646	110639
51	6785	110656
52	6892	110149
53	6998	109637
54	7100	109097
55	7204	108575
56	7311	108139
57	7423	107773
58	7531	107359
59	7648	107077
60	7777	106973
61	7895	106716
62	7994	106215
63	8095	105743
64	8201	105352
65	8295	104831
66	8394	104372
67	8491	103892
68	8589	103449
69	8685	102985
70	8785	102580
71	8879	102118
72	8979	101725
73	9070	101242
74	9198	101188
75	9378	101686
76	9511	101665
77	9597	101142
78	9721	101026
79	9908	101557
80	10120	102327
81	10324	102991
82	10533	103682
83	10724	104185
84	10845	103987
85	10975	103885
86	11107	103794
87	11247	103780
88	11369	103605
89	11473	103262
90	11577	102928
91	11676	102552
92	11775	102182
93	11880	101869
94	11986	101566
95	12087	101229
96	12190	100916
97	12298	100642
98	12404	100366
99	12502	100017
100	12595	99645
101	12695	99326
102	12790	98973
103	12896	98706
104	12996	98401
105	13093	98076
106	13189	97750
107	13287	97439
108	13380	97098
109	13477	96789
110	13572	96477
111	13666	96156
112	13764	95862
113	13866	95608
114	13989	95492
115	14094	95259
116	14191	94973
117	14282	94649
118	14372	94325
119	14468	94045
120	14596	93974
121	14716	93850
122	14832	93697
123	14957	93602
124	15067	93416
125	15171	93197
126	15275	92975
127	15379	92756
128	15483	92538
129	15588	92333
130	15689	92102
131	15797	91912
132	15933	91888
133	16064	91832
134	16203	91819
135	16382	92033
136	16493	91856
137	16608	91708
138	16720	91541
139	16814	91276
140	16900	90973
141	16989	90691
142	17107	90564
143	17211	90362
144	17322	90198
145	17423	89983
146	17594	90127
147	17722	90047
148	17849	89968
149	18027	90135
150	18173	90147
151	18409	90595
152	18630	90961
153	18862	91373
154	19045	91543
155	19237	91749
156	19416	91887
157	19521	91677
158	19626	91467
159	19735	91276
160	19836	91050
161	19934	90811
162	20062	90710
163	20168	90510
164	20271	90302
165	20387	90147
166	20557	90233
167	20740	90367
168	20964	90680
169	21171	90911
170	21469	91527
171	21852	92490
172	22091	92837
173	22352	93265
174	22601	93636
175	22744	93561
176	22868	93410
177	22991	93259
178	23098	93040
179	23215	92862
180	23324	92654
181	23428	92428
182	23530	92192
183	23622	91921
184	23722	91682
185	23816	91425
186	23926	91228
187	24032	91016
188	24140	90813
189	24233	90555
190	24327	90304
191	24427	90076
192	24533	89870
193	24633	89644
194	24730	89412
195	24874	89343
196	25001	89220
197	25134	89111
198	25267	89006
199	25396	88887
200	25529	88780
201	25642	88607
202	25773	88492
203	25921	88437
204	26054	88331
205	26188	88227
206	26382	88324
207	26576	88416
208	26661	88150
209	26764	87941
210	26866	87729
211	26948	87455
212	27037	87205
213	27121	86942
214	27206	86680
215	27289	86418
216	27378	86172
217	27459	85904
218	27542	85646
219	27626	85389
220	27711	85142
221	27812	84942
222	27929	84789
223	28024	84572
224	28113	84339
225	28214	84144
226	28301	83906
227	28389	83673
228	28472	83427
229	28559	83195
230	28655	82988
231	28764	82822
232	28891	82706
233	28992	82517
234	29085	82304
235	29167	82065
236	29244	81809
237	29326	81571
238	29420	81369
239	29505	81139
240	29620	80994
241	29719	80806
242	29807	80591
243	29897	80381
244	29990	80177
245	30079	79967
246	30177	79781
247	30266	79571
248	30373	79410
249	30487	79268
250	30591	79099
251	30694	78927
252	30790	78742
253	30911	78616
254	31010	78437
255	31109	78259
256	31214	78096
257	31310	77912
258	31415	77750
259	31509	77561
260	31599	77363
261	31689	77166
262	31777	76966
263	31869	76775
264	31955	76573
265	32046	76382
266	32150	76222
267	32274	76110
268	32366	75923
269	32455	75729
270	32542	75532
271	32633	75345
272	32763	75247
273	32860	75074
274	32950	74886
275	33047	74715
276	33148	74555
277	33254	74404
278	33346	74221
279	33427	74018
280	33504	73804
281	33584	73600
282	33669	73406
283	33757	73221
284	33840	73024
285	33920	72823
286	33994	72607
287	34074	72409
288	34150	72200
289	34228	71998
290	34307	71798
291	34386	71599
292	34460	71390
293	34541	71198
294	34630	71022
295	34760	70929
296	34878	70813
297	34970	70645
298	35293	70941
299	35534	71069
300	35688	71020
301	35808	70905
302	35935	70803
303	36099	70774
304	36191	70602
305	36292	70450
306	36397	70304
307	36487	70131
308	36583	69971
309	36675	69801
310	36771	69640
311	36878	69502
312	37014	69416
313	37144	69321
314	37273	69222
315	37413	69144
316	37516	68997
317	37672	68947
318	37854	68944
319	37995	68867
320	38109	68739
321	38233	68629
322	38348	68504
323	38447	68351
324	38552	68207
325	38655	68062
326	38758	67915
327	38856	67761
328	38944	67589
329	39038	67429
330	39130	67265
331	39222	67102
332	39305	66925
333	39391	66752
334	39480	66586
335	39582	66442
336	39672	66278
337	39761	66112
338	39840	65931
339	39931	65768
340	40011	65591
341	40084	65400
342	40170	65233
343	40265	65080
344	40359	64926
345	40448	64764
346	40541	64609
347	40630	64448
348	40718	64286
349	40819	64144
350	40913	63992
351	41043	63897
352	41173	63801
353	41311	63717
354	41429	63603
355	41539	63475
356	41657	63361
357	41756	63217
358	41872	63100
359	41961	62942
360	42053	62789
361	42145	62636
362	42249	62501
363	42344	62353
364	42440	62207
365	42542	62070
366	42736	62066
367	42936	62070
368	43128	62062
369	43305	62031
370	43540	62082
371	43733	62073
372	43843	61944
373	43959	61824
374	44070	61699
375	44177	61566
376	44295	61450
377	44466	61406
378	44572	61271
379	44677	61137
380	44770	60986
381	44864	60836
382	44958	60687
383	45053	60540
384	45150	60396
385	45241	60244
386	45352	60118
387	45454	59981
388	45568	59859
389	45673	59726
390	45796	59617
391	45919	59507
392	46023	59373
393	46145	59262
394	46253	59134
395	46347	58988
396	46475	58884
397	46659	58851
398	46768	58724
399	46994	58742
400	47187	58719
401	47368	58679
402	47547	58638
403	47718	58584
404	47958	58616
405	48171	58612
406	48365	58584
407	48563	58562
408	48767	58544
409	48970	58525
410	49094	58412
411	49205	58282
412	49323	58161
413	49436	58034
414	49549	57907
415	49686	57808
416	49786	57666
417	49888	57527
418	49987	57384
419	50091	57247
420	50218	57137
421	50353	57036
422	50480	56924
423	50618	56825
424	50755	56726
425	50882	56616
