iter	RMSE
0	0.7611048566
1	0.7564939092
2	0.7518190324
3	0.7473056759
4	0.7435025214
5	0.7391354053
6	0.7358204067
7	0.7318803336
8	0.7273278155
9	0.7235625652
10	0.7201609283
11	0.7173784249
12	0.7144481333
13	0.7117672482
14	0.7090875777
15	0.7060854221
16	0.7031231676
17	0.7009147087
18	0.6987925711
19	0.6966719661
20	0.6945742691
21	0.6926462785
22	0.6905303168
23	0.6885077367
24	0.6862072997
25	0.6843910125
26	0.6827273066
27	0.6810163663
28	0.6793892958
29	0.6776727209
30	0.675579229
31	0.6739023023
32	0.6725783915
33	0.6713139252
34	0.6693658025
35	0.6678800479
36	0.6664380273
37	0.66479981
38	0.6635005774
39	0.6619546831
40	0.6607273515
41	0.6597175806
42	0.6583878433
43	0.6569798408
44	0.6559020712
45	0.6546967428
46	0.6535288747
47	0.6524332161
48	0.6514170189
49	0.650649518
50	0.6494624951
51	0.6484619248
52	0.6477568279
53	0.6464307328
54	0.6453218088
55	0.6441220355
56	0.6430870155
57	0.6420627201
58	0.6404560331
59	0.6392868591
60	0.6384928427
61	0.6373710795
62	0.6360978866
63	0.6350665257
64	0.6343497903
65	0.6331491801
66	0.6318466949
67	0.6307327227
68	0.6300511321
69	0.6293308409
70	0.6283619696
71	0.6270090412
72	0.6259354714
73	0.6250800599
74	0.6242193043
75	0.6235434419
76	0.6229620873
77	0.6220728295
78	0.6214158283
79	0.6205362412
80	0.6196073861
81	0.6190424508
82	0.6182484315
83	0.6171025063
84	0.6162674636
85	0.6151972726
86	0.6143438775
87	0.6135709842
88	0.6129211263
89	0.6121863106
90	0.6114578788
91	0.6106857617
92	0.6099996448
93	0.6092723485
94	0.6083974728
95	0.6075229512
96	0.6065432369
97	0.6059303543
98	0.6051623613
99	0.6043870115
100	0.6034415551
101	0.6025548176
102	0.6016852921
103	0.6009056898
104	0.6003647155
105	0.5994525776
106	0.5988978821
107	0.5977134626
108	0.5968394071
109	0.596150385
110	0.5957164083
111	0.5948807312
112	0.5942210283
113	0.5937458408
114	0.5931288852
115	0.5924017159
116	0.5917519262
117	0.5908326989
118	0.5902978654
119	0.5894282389
120	0.5888159471
121	0.5882733686
122	0.587315509
123	0.586450943
124	0.5857367806
125	0.5851369894
126	0.5845101829
127	0.5834090538
128	0.5825870862
129	0.5822015825
130	0.5817243234
131	0.5811147559
132	0.5801432245
133	0.5794049905
134	0.578582785
135	0.5778884625
136	0.5771051022
137	0.576463472
138	0.5755239232
139	0.574853732
140	0.5741285251
141	0.5734214736
142	0.5725308839
143	0.5719070753
144	0.5712083249
145	0.5703189269
146	0.5699790167
147	0.5694525397
148	0.5688464944
149	0.5682573934
150	0.5674957455
151	0.5669613943
152	0.5664968688
153	0.5655832291
154	0.5649945295
155	0.5642879457
156	0.5632520297
157	0.5624741101
158	0.5619910452
159	0.5610924297
160	0.560438118
161	0.5600475697
162	0.559449679
163	0.5587269419
164	0.5580612296
165	0.557686961
166	0.5571978945
167	0.556251345
168	0.5556313327
169	0.554965517
170	0.5542122785
171	0.5536929631
172	0.5527537576
173	0.55188734
174	0.5511000232
175	0.5503575901
176	0.5496206946
177	0.5490387886
178	0.5481326494
179	0.5473220362
180	0.5466418902
181	0.5458328245
182	0.545326725
183	0.5445647616
184	0.5441510636
185	0.5435664888
186	0.5426120723
187	0.5418375083
188	0.541064375
189	0.5404013412
190	0.5395608529
191	0.5389108442
192	0.5380427741
193	0.537160461
194	0.5363253521
195	0.5355444054
196	0.5349251639
197	0.5340656839
198	0.533232746
199	0.5324860571
200	0.5316943555
201	0.5314311223
202	0.5306535876
203	0.5300869399
204	0.5291385717
205	0.5284366812
206	0.5277231778
207	0.5269906125
208	0.5259279093
209	0.5251618924
210	0.524297164
211	0.5237751218
212	0.523232397
213	0.5223573423
214	0.521500316
215	0.5208712061
216	0.5201348171
217	0.5194619938
218	0.5185532685
219	0.5179300638
220	0.5172161905
221	0.5164948932
222	0.515871909
223	0.5150693841
224	0.5142441157
225	0.5134781718
226	0.5128407075
227	0.5123537773
228	0.5116337526
229	0.5106406321
230	0.509833977
231	0.5091192372
232	0.5081885167
233	0.5075452352
234	0.5069329825
235	0.5060234856
236	0.5053703239
237	0.5049406702
238	0.5044311551
239	0.503630216
240	0.5029073632
241	0.5018944354
242	0.5013029367
243	0.5008671904
244	0.4997645441
245	0.498934114
246	0.4982915347
247	0.4973916023
248	0.4966269226
249	0.495866892
250	0.4947436992
251	0.4939923664
252	0.4931721133
253	0.492312909
254	0.4913435109
255	0.4902561056
256	0.4893285067
257	0.4887593734
258	0.4881576108
259	0.4872055456
260	0.486458839
261	0.485720773
262	0.4848481668
263	0.4841112015
264	0.4833453019
265	0.4828200088
266	0.4822130863
267	0.4813069256
268	0.4806452281
269	0.4800393414
270	0.4793698921
271	0.4790467522
272	0.4783701838
273	0.4772920437
274	0.4765920984
275	0.4760554554
276	0.4754912643
277	0.4747494334
278	0.4739574706
279	0.4734797085
280	0.4724995348
281	0.471683065
282	0.4711014766
283	0.4704212679
284	0.4700469489
285	0.4696569984
286	0.4689684695
287	0.4685081303
288	0.4679402428
289	0.4673127041
290	0.4665318963
291	0.4658928706
292	0.4650949698
293	0.4641354894
294	0.4637353761
295	0.4632956874
296	0.4626458402
297	0.461971199
298	0.4615700487
299	0.4611611588
300	0.4605152422
301	0.459983549
302	0.4593147038
303	0.4588941952
304	0.4581439318
305	0.4572662769
306	0.4567514727
307	0.4560956676
308	0.4556206483
309	0.4548709577
310	0.454198133
311	0.4535090726
312	0.4528944357
313	0.4522072715
314	0.4517429098
315	0.4513831371
316	0.4506116422
317	0.4501323086
318	0.4494906901
319	0.4490008205
320	0.4482008577
321	0.447527009
322	0.4468333086
323	0.4463049324
324	0.4456989435
325	0.4453756051
326	0.4448727386
327	0.4443449736
328	0.4439069523
329	0.4431187762
330	0.4422466337
331	0.4416515634
332	0.4412064901
333	0.4406417685
334	0.4400209852
335	0.4396770832
336	0.4391903828
337	0.4386983705
338	0.43787334
339	0.4371482893
340	0.4364305447
341	0.4359646652
342	0.4352619094
343	0.4345042912
344	0.4335564091
345	0.4330184427
346	0.4325038692
347	0.4316474456
348	0.4310300818
349	0.4303548596
350	0.429577406
351	0.4292102989
352	0.4286449383
353	0.4278755743
354	0.4272938975
355	0.4264508079
356	0.4256631259
357	0.4249188642
358	0.4246228967
359	0.4237532553
360	0.4232127567
361	0.4224772724
362	0.4216920392
363	0.4208017028
364	0.4205128722
365	0.4198555755
366	0.4190468444
367	0.4185523311
368	0.4178791772
369	0.4174212243
370	0.4169441033
371	0.4163021732
372	0.4158014461
373	0.415213718
374	0.4144838413
375	0.4138961036
376	0.413611883
377	0.4129835767
378	0.4127122484
379	0.4120122275
380	0.4114530181
381	0.411110237
382	0.4104070181
383	0.4099193463
384	0.4091219013
385	0.4086036222
386	0.4082750248
387	0.407889535
388	0.4072098666
389	0.4067184615
390	0.4061356856
391	0.4055435231
392	0.4051096459
393	0.4044865297
394	0.4038514791
395	0.403353388
396	0.4028885648
397	0.4023673488
398	0.4019602059
399	0.4011114151
400	0.4007284924
401	0.4001728216
402	0.3997201326
403	0.3992016342
404	0.3986992846
405	0.3979506961
406	0.3973501598
407	0.3968577424
408	0.3960531173
409	0.3953229817
410	0.3948702
411	0.3943636496
412	0.3937548449
413	0.3929640994
414	0.3921784622
415	0.3917340229
416	0.3909478023
417	0.3906634966
418	0.3900655164
419	0.3893852303
420	0.3888081146
421	0.3881749327
422	0.3877806099
423	0.387445679
424	0.3866548374
425	0.3861896598
426	0.385643371
427	0.3853098328
428	0.3845223278
429	0.3841844917
430	0.3838811837
431	0.383268843
432	0.3827738507
433	0.3821759237
434	0.3814571841
435	0.3808788824
436	0.3803498139
437	0.3798006674
438	0.3792003731
439	0.3787952717
440	0.3782765627
441	0.3778458634
442	0.3774364584
443	0.3768849255
444	0.3765558586
445	0.3758315309
446	0.375524545
447	0.3749686923
448	0.3743380758
449	0.3738269179
450	0.3733320107
451	0.37261299
452	0.3719533743
453	0.3713922426
454	0.3709489479
455	0.3703563996
456	0.3697035838
457	0.3690192816
458	0.3685040959
459	0.3679332587
460	0.367533406
461	0.3670509076
462	0.3663478779
463	0.3658882413
464	0.3654950463
465	0.3649690846
466	0.3646366515
467	0.3642076386
468	0.36395804
469	0.3633605105
470	0.3629313961
471	0.3627212082
472	0.3619958874
473	0.3616642195
474	0.3608835008
475	0.3602540695
476	0.3596913754
477	0.3590605684
478	0.3586136758
479	0.358121953
480	0.357579058
481	0.3569100559
482	0.3564390019
483	0.3561375592
484	0.3558382644
485	0.3553838317
486	0.3550763883
487	0.3544744465
488	0.3539800524
489	0.353480649
490	0.3530448886
491	0.3527002813
492	0.3519782958
493	0.3515313754
494	0.3512071841
495	0.3506150392
496	0.3501145127
497	0.349772995
498	0.3492586702
499	0.3488502605
500	0.3486286174
501	0.3480350708
502	0.3475669369
503	0.347131797
504	0.3466337289
505	0.3460655394
506	0.3454558451
507	0.3448784207
508	0.3444573319
509	0.3440126761
510	0.3434815838
511	0.3429212378
512	0.3424440438
513	0.3421298669
514	0.3415573866
515	0.3413402076
516	0.3407696132
517	0.3405323898
518	0.3400778879
519	0.3397154332
520	0.3390708301
521	0.338725417
522	0.3382319454
523	0.3375699254
524	0.3371978348
525	0.3366795108
526	0.3363666731
527	0.3357685991
528	0.3352561204
529	0.3348484797
530	0.3343195776
531	0.334024037
532	0.3334581215
533	0.3330053739
534	0.3325098783
535	0.3320164034
536	0.3317502614
537	0.3312617396
538	0.3309063408
539	0.3303800594
540	0.3297244551
541	0.3293580744
542	0.3289401333
543	0.3282618497
544	0.3278084174
545	0.327182972
