iter	Passed	Remaining
0	179	179670
1	257	128594
2	310	103236
3	341	85070
4	359	71615
5	380	63031
6	401	56950
7	416	51633
8	427	47044
9	440	43576
10	452	40708
11	465	38351
12	475	36106
13	488	34432
14	500	32883
15	515	31726
16	539	31203
17	559	30545
18	576	29777
19	594	29132
20	623	29082
21	645	28709
22	705	29958
23	754	30671
24	797	31088
25	851	31909
26	893	32191
27	938	32578
28	980	32813
29	999	32331
30	1033	32312
31	1068	32314
32	1088	31910
33	1109	31528
34	1130	31165
35	1151	30830
36	1171	30501
37	1193	30209
38	1213	29908
39	1233	29609
40	1254	29352
41	1274	29079
42	1296	28859
43	1332	28961
44	1382	29347
45	1429	29652
46	1464	29700
47	1485	29464
48	1526	29628
49	1556	29573
50	1592	29629
51	1637	29844
52	1663	29721
53	1688	29576
54	1713	29445
55	1730	29168
56	1743	28850
57	1761	28616
58	1773	28285
59	1785	27968
60	1798	27684
61	1810	27385
62	1822	27106
63	1836	26860
64	1850	26612
65	1863	26367
66	1887	26279
67	1916	26261
68	1935	26118
69	1975	26252
70	2038	26677
71	2119	27322
72	2209	28061
73	2237	27997
74	2269	27992
75	2302	27991
76	2339	28044
77	2367	27985
78	2409	28085
79	2443	28098
80	2465	27976
81	2494	27921
82	2516	27799
83	2536	27664
84	2559	27553
85	2578	27400
86	2597	27253
87	2622	27180
88	2651	27136
89	2670	27003
90	2696	26939
91	2719	26842
92	2742	26744
93	2762	26625
94	2782	26509
95	2800	26369
96	2815	26208
97	2831	26057
98	2847	25917
99	2865	25785
100	2882	25653
101	2896	25504
102	2918	25420
103	2941	25344
104	2964	25264
105	2985	25180
106	3004	25074
107	3019	24936
108	3035	24813
109	3049	24673
110	3065	24553
111	3077	24403
112	3099	24326
113	3136	24373
114	3168	24381
115	3197	24370
116	3222	24322
117	3243	24243
118	3256	24109
119	3268	23970
120	3281	23838
121	3294	23706
122	3306	23578
123	3317	23439
124	3328	23299
125	3340	23168
126	3350	23031
127	3361	22900
128	3372	22771
129	3381	22627
130	3395	22521
131	3404	22390
132	3413	22250
133	3423	22122
134	3431	21988
135	3440	21854
136	3451	21743
137	3459	21608
138	3467	21478
139	3475	21350
140	3483	21222
141	3491	21097
142	3499	20972
143	3507	20850
144	3516	20737
145	3525	20619
146	3533	20501
147	3540	20383
148	3548	20268
149	3556	20154
150	3564	20042
151	3572	19930
152	3580	19820
153	3588	19712
154	3596	19606
155	3605	19504
156	3613	19400
157	3621	19297
158	3629	19195
159	3637	19096
160	3645	18997
161	3653	18897
162	3661	18800
163	3669	18704
164	3677	18608
165	3685	18514
166	3693	18421
167	3701	18329
168	3715	18271
169	3727	18201
170	3737	18120
171	3747	18041
172	3764	17996
173	3778	17934
174	3797	17900
175	3809	17835
176	3821	17769
177	3831	17694
178	3858	17698
179	3882	17689
180	3924	17759
181	3945	17734
182	3996	17843
183	4113	18243
184	4225	18614
185	4261	18649
186	4288	18645
187	4317	18645
188	4333	18594
189	4350	18546
190	4368	18504
191	4380	18435
192	4414	18460
193	4431	18413
194	4464	18432
195	4487	18408
196	4516	18409
197	4538	18381
198	4567	18386
199	4600	18401
200	4627	18396
201	4658	18402
202	4677	18364
203	4694	18318
204	4710	18268
205	4734	18249
206	4759	18231
207	4787	18230
208	4826	18268
209	4870	18323
210	4904	18340
211	4919	18286
212	4941	18258
213	4962	18228
214	5011	18297
215	5092	18482
216	5163	18630
217	5188	18611
218	5216	18602
219	5243	18589
220	5260	18542
221	5279	18503
222	5313	18514
223	5392	18682
224	5450	18774
225	5503	18848
226	5553	18911
227	5597	18954
228	5651	19027
229	5707	19107
230	5766	19195
231	5840	19333
232	5942	19560
233	6007	19666
234	6073	19771
235	6152	19918
236	6208	19988
237	6230	19947
238	6251	19904
239	6283	19898
240	6309	19871
241	6336	19848
242	6351	19786
243	6365	19722
244	6379	19658
245	6392	19591
246	6412	19547
247	6437	19518
248	6481	19547
249	6543	19631
250	6577	19628
251	6606	19610
252	6644	19617
253	6677	19612
254	6699	19573
255	6729	19558
256	6768	19568
257	6800	19557
258	6824	19526
259	6852	19502
260	6891	19511
261	6931	19523
262	6975	19548
263	7007	19535
264	7031	19503
265	7051	19458
266	7070	19410
267	7102	19399
268	7133	19384
269	7155	19347
270	7173	19297
271	7188	19239
272	7211	19204
273	7224	19141
274	7238	19083
275	7251	19020
276	7263	18957
277	7273	18891
278	7283	18823
279	7294	18758
280	7303	18688
281	7312	18619
282	7323	18553
283	7341	18508
284	7355	18453
285	7371	18402
286	7390	18361
287	7428	18363
288	7454	18340
289	7495	18351
290	7522	18328
291	7546	18297
292	7578	18287
293	7633	18330
294	7710	18427
295	7781	18507
296	7863	18612
297	7963	18759
298	8033	18833
299	8095	18888
300	8162	18954
301	8205	18965
302	8272	19030
303	8330	19071
304	8395	19131
305	8462	19191
306	8512	19214
307	8549	19209
308	8586	19201
309	8619	19184
310	8657	19179
311	8707	19200
312	8763	19234
313	8833	19297
314	8887	19327
315	8938	19348
316	8995	19382
317	9063	19438
318	9115	19460
319	9179	19506
320	9236	19537
321	9266	19511
322	9326	19547
323	9380	19571
324	9417	19559
325	9431	19498
326	9447	19443
327	9497	19457
328	9549	19475
329	9581	19452
330	9605	19414
331	9634	19385
332	9663	19356
333	9694	19331
334	9729	19313
335	9771	19310
336	9811	19302
337	9848	19289
338	9876	19258
339	9901	19220
340	9928	19187
341	9953	19150
342	9981	19119
343	10010	19090
344	10036	19054
345	10057	19009
346	10077	18964
347	10097	18918
348	10118	18874
349	10139	18829
350	10159	18785
351	10179	18739
352	10200	18695
353	10220	18651
354	10241	18607
355	10262	18564
356	10282	18520
357	10303	18477
358	10323	18432
359	10344	18390
360	10365	18348
361	10385	18304
362	10407	18262
363	10428	18220
364	10449	18178
365	10469	18136
366	10490	18093
367	10510	18051
368	10532	18010
369	10552	17968
370	10573	17926
371	10594	17885
372	10615	17844
373	10636	17803
374	10657	17763
375	10678	17722
376	10699	17681
377	10719	17639
378	10744	17605
379	10767	17567
380	10787	17526
381	10808	17485
382	10829	17445
383	10849	17405
384	10871	17365
385	10892	17325
386	10912	17285
387	10933	17245
388	10954	17205
389	10975	17166
390	10995	17126
391	11017	17087
392	11037	17048
393	11058	17009
394	11079	16970
395	11100	16931
396	11121	16892
397	11142	16853
398	11165	16818
399	11186	16780
400	11207	16741
401	11228	16702
402	11248	16663
403	11270	16626
404	11291	16588
405	11311	16549
406	11332	16511
407	11354	16474
408	11375	16437
409	11395	16398
410	11415	16359
411	11436	16321
412	11456	16283
413	11477	16246
414	11498	16208
415	11519	16171
416	11540	16134
417	11560	16096
418	11581	16059
419	11602	16022
420	11622	15984
421	11643	15947
422	11663	15909
423	11683	15872
424	11704	15835
425	11725	15799
426	11746	15762
427	11767	15726
428	11788	15690
429	11808	15653
430	11829	15617
431	11850	15581
432	11870	15544
433	11891	15508
434	11912	15472
435	11933	15436
436	11954	15401
437	11975	15365
438	11995	15329
439	12019	15297
440	12041	15263
441	12062	15228
442	12083	15193
443	12105	15158
444	12125	15123
445	12146	15088
446	12167	15052
447	12187	15017
448	12208	14981
449	12228	14946
450	12249	14911
451	12277	14885
452	12300	14852
453	12321	14818
454	12342	14783
455	12362	14748
456	12383	14714
457	12404	14679
458	12425	14644
459	12446	14610
460	12467	14576
461	12488	14542
462	12509	14509
463	12530	14474
464	12550	14440
465	12571	14405
466	12591	14371
467	12611	14336
468	12633	14303
469	12654	14269
470	12674	14235
471	12695	14201
472	12716	14168
473	12737	14135
474	12759	14102
475	12779	14068
476	12800	14035
477	12821	14001
478	12842	13968
479	12863	13935
480	12884	13902
481	12905	13869
482	12926	13836
483	12947	13803
484	12968	13770
485	12989	13738
486	13010	13704
487	13031	13672
488	13052	13639
489	13072	13606
490	13094	13574
491	13115	13541
492	13135	13508
493	13153	13473
494	13171	13437
495	13187	13400
496	13213	13372
497	13238	13344
498	13247	13300
499	13266	13266
500	13293	13240
501	13312	13206
502	13331	13172
503	13349	13137
504	13363	13098
505	13378	13060
506	13390	13020
507	13402	12980
508	13413	12939
509	13423	12896
510	13437	12858
511	13448	12817
512	13458	12776
513	13472	12738
514	13481	12696
515	13490	12654
516	13510	12621
517	13517	12578
518	13536	12545
519	13571	12527
520	13590	12495
521	13630	12481
522	13691	12486
523	13746	12486
524	13803	12488
525	13848	12479
526	13870	12449
527	13896	12422
528	13928	12401
529	13957	12377
530	13991	12357
531	14039	12350
532	14077	12334
533	14111	12314
534	14148	12296
535	14170	12266
536	14215	12256
537	14248	12235
538	14275	12209
539	14298	12180
540	14319	12149
541	14335	12113
542	14350	12077
543	14363	12040
544	14378	12004
545	14401	11975
546	14423	11944
547	14444	11913
548	14465	11882
549	14485	11851
550	14506	11821
551	14527	11790
552	14549	11760
553	14570	11729
554	14590	11699
555	14612	11669
556	14633	11638
557	14654	11608
558	14675	11577
559	14697	11548
560	14718	11517
561	14739	11487
562	14760	11456
563	14781	11427
564	14803	11397
565	14825	11367
566	14846	11338
567	14868	11308
568	14889	11277
569	14910	11248
570	14931	11218
571	14955	11190
572	14976	11160
573	15005	11136
574	15036	11113
575	15059	11085
576	15089	11061
577	15115	11035
578	15153	11018
579	15204	11009
580	15231	10984
581	15264	10963
582	15295	10940
583	15336	10924
584	15387	10916
585	15422	10896
586	15449	10870
587	15481	10847
588	15520	10830
589	15546	10803
590	15573	10777
591	15626	10769
592	15689	10768
593	15764	10774
594	15817	10766
595	15886	10768
596	15931	10754
597	16000	10756
598	16057	10749
599	16158	10772
600	16240	10781
601	16303	10778
602	16378	10783
603	16394	10748
604	16425	10723
605	16443	10690
606	16483	10671
607	16516	10648
608	16538	10618
609	16555	10584
610	16572	10551
611	16598	10523
612	16617	10490
613	16642	10462
614	16657	10428
615	16678	10396
616	16715	10376
617	16756	10357
618	16805	10343
619	16858	10332
620	16899	10313
621	16928	10287
622	16946	10254
623	16963	10221
624	16979	10187
625	16998	10155
626	17017	10123
627	17035	10091
628	17052	10058
629	17075	10028
630	17136	10021
631	17174	10000
632	17194	9968
633	17211	9935
634	17260	9921
635	17311	9907
636	17398	9914
637	17445	9898
638	17502	9888
639	17562	9879
640	17605	9860
641	17633	9833
642	17667	9809
643	17704	9786
644	17733	9760
645	17768	9736
646	17798	9710
647	17828	9684
648	17849	9653
649	17870	9622
650	17887	9589
651	17908	9558
652	17929	9527
653	17948	9495
654	17981	9471
655	18024	9451
656	18078	9438
657	18131	9423
658	18205	9420
659	18251	9402
660	18282	9376
661	18314	9351
662	18332	9318
663	18346	9283
664	18361	9249
665	18383	9219
666	18402	9187
667	18428	9159
668	18456	9131
669	18473	9098
670	18491	9066
671	18507	9033
672	18527	9002
673	18548	8971
674	18569	8940
675	18602	8915
676	18634	8890
677	18665	8864
678	18709	8845
679	18731	8814
680	18749	8782
681	18774	8754
682	18794	8723
683	18815	8692
684	18849	8667
685	18871	8637
686	18889	8606
687	18904	8572
688	18916	8538
689	18928	8504
690	18939	8469
691	18957	8437
692	18972	8405
693	18986	8371
694	19006	8341
695	19021	8308
696	19043	8278
697	19070	8251
698	19092	8221
699	19118	8193
700	19143	8165
701	19175	8139
702	19202	8112
703	19222	8082
704	19247	8054
705	19273	8026
706	19296	7997
707	19322	7969
708	19372	7951
709	19394	7921
710	19429	7897
711	19482	7880
712	19530	7861
713	19578	7842
714	19640	7828
715	19691	7810
716	19732	7788
717	19774	7766
718	19829	7749
719	19882	7732
720	19941	7716
721	20012	7705
722	20088	7696
723	20160	7685
724	20240	7677
725	20326	7671
726	20361	7645
727	20403	7623
728	20459	7605
729	20512	7586
730	20568	7568
731	20609	7545
732	20639	7517
733	20681	7495
734	20741	7478
735	20796	7459
736	20820	7429
737	20848	7401
738	20864	7368
739	20895	7341
740	20915	7310
741	20933	7278
742	20950	7246
743	20964	7213
744	20981	7181
745	21007	7152
746	21023	7120
747	21047	7090
748	21068	7060
749	21095	7031
750	21127	7005
751	21172	6982
752	21199	6953
753	21238	6929
754	21280	6905
755	21389	6903
756	21461	6889
757	21587	6891
758	21643	6872
759	21686	6848
760	21755	6832
761	21804	6810
762	21877	6795
763	21928	6773
764	21985	6753
765	22021	6727
766	22063	6702
767	22114	6680
768	22184	6663
769	22265	6650
770	22335	6633
771	22388	6612
772	22449	6592
773	22484	6565
774	22544	6545
775	22601	6524
776	22630	6495
777	22651	6463
778	22688	6436
779	22714	6406
780	22805	6394
781	22879	6378
782	22942	6358
783	23032	6345
784	23085	6322
785	23127	6296
786	23186	6275
787	23222	6247
788	23271	6223
789	23302	6194
790	23344	6168
791	23409	6148
792	23507	6136
793	23557	6111
794	23646	6097
795	23723	6079
796	23797	6061
797	23851	6037
798	23894	6010
799	23930	5982
800	23955	5951
801	23976	5919
802	23997	5887
803	24018	5855
804	24038	5823
805	24059	5791
806	24080	5758
807	24101	5727
808	24122	5695
809	24142	5663
810	24163	5631
811	24184	5599
812	24205	5567
813	24225	5535
814	24246	5503
815	24270	5472
816	24291	5440
817	24311	5409
818	24332	5377
819	24352	5345
820	24373	5314
821	24394	5282
822	24414	5250
823	24434	5219
824	24455	5187
825	24476	5156
826	24496	5124
827	24517	5092
828	24544	5062
829	24571	5032
830	24594	5001
831	24617	4970
832	24639	4939
833	24661	4908
834	24684	4877
835	24709	4847
836	24730	4816
837	24751	4784
838	24771	4753
839	24797	4723
840	24815	4691
841	24836	4660
842	24862	4630
843	24891	4600
844	24922	4571
845	24950	4541
846	24975	4511
847	25026	4485
848	25071	4459
849	25132	4435
850	25188	4410
851	25236	4383
852	25318	4363
853	25395	4341
854	25455	4316
855	25484	4287
856	25506	4256
857	25522	4223
858	25532	4190
859	25552	4159
860	25571	4128
861	25585	4096
862	25600	4064
863	25638	4035
864	25663	4005
865	25687	3974
866	25707	3943
867	25719	3911
868	25733	3879
869	25760	3849
870	25788	3819
871	25802	3787
872	25814	3755
873	25824	3722
874	25833	3690
875	25853	3659
876	25868	3628
877	25882	3596
878	25899	3565
879	25913	3533
880	25934	3503
881	25966	3473
882	25984	3443
883	26005	3412
884	26029	3382
885	26046	3351
886	26063	3320
887	26088	3290
888	26110	3260
889	26129	3229
890	26141	3198
891	26156	3166
892	26166	3135
893	26188	3105
894	26214	3075
895	26231	3044
896	26244	3013
897	26261	2982
898	26289	2953
899	26314	2923
900	26333	2893
901	26351	2863
902	26363	2831
903	26386	2802
904	26402	2771
905	26421	2741
906	26445	2711
907	26490	2684
908	26511	2654
909	26548	2625
910	26604	2599
911	26662	2572
912	26706	2544
913	26736	2515
914	26779	2487
915	26826	2460
916	26864	2431
917	26895	2402
918	26930	2373
919	26957	2344
920	26996	2315
921	27025	2286
922	27061	2257
923	27103	2229
924	27156	2201
925	27223	2175
926	27330	2152
927	27383	2124
928	27418	2095
929	27463	2067
930	27504	2038
931	27540	2009
932	27571	1979
933	27605	1950
934	27632	1920
