iter	Passed	Remaining
0	6	5654
1	11	5016
2	15	4765
3	21	4794
4	26	4715
5	31	4668
6	36	4664
7	42	4692
8	47	4664
9	52	4632
10	57	4641
11	63	4675
12	67	4631
13	72	4607
14	77	4571
15	82	4551
16	87	4521
17	93	4569
18	99	4610
19	105	4651
20	110	4622
21	115	4628
22	120	4606
23	126	4603
24	130	4575
25	135	4543
26	139	4520
27	144	4496
28	150	4522
29	155	4509
30	160	4487
31	165	4499
32	171	4493
33	175	4475
34	180	4456
35	186	4466
36	190	4447
37	195	4430
38	200	4423
39	205	4411
40	211	4425
41	217	4434
42	222	4430
43	227	4420
44	232	4425
45	238	4436
46	244	4428
47	248	4413
48	253	4405
49	258	4393
50	263	4391
51	268	4381
52	273	4372
53	281	4402
54	286	4394
55	291	4398
56	296	4391
57	302	4386
58	307	4383
59	312	4372
60	319	4395
61	325	4394
62	330	4390
63	336	4395
64	342	4403
65	349	4410
66	353	4400
67	358	4392
68	363	4383
69	369	4377
70	374	4374
71	380	4377
72	386	4373
73	392	4375
74	397	4372
75	402	4366
76	408	4368
77	414	4364
78	419	4359
79	424	4347
80	428	4334
81	433	4327
82	440	4337
83	446	4333
84	451	4325
85	456	4318
86	461	4314
87	467	4317
88	473	4313
89	478	4302
90	483	4296
91	488	4289
92	493	4283
93	498	4276
94	503	4266
95	508	4260
96	513	4251
97	518	4242
98	523	4234
99	527	4222
100	533	4222
101	539	4220
102	545	4223
103	551	4218
104	555	4206
105	560	4198
106	565	4190
107	570	4186
108	575	4177
109	579	4164
110	584	4157
111	590	4157
112	595	4150
113	601	4147
114	607	4147
115	612	4141
116	617	4135
117	623	4129
118	627	4120
119	632	4109
120	636	4099
121	641	4092
122	646	4085
123	652	4085
124	657	4078
125	663	4078
126	669	4073
127	675	4071
128	680	4065
129	685	4057
130	689	4050
131	696	4051
132	701	4046
133	707	4043
134	712	4035
135	716	4027
136	721	4017
137	726	4010
138	730	4000
139	735	3992
140	739	3981
141	744	3973
142	748	3963
143	753	3954
144	757	3946
145	762	3937
146	767	3929
147	772	3926
148	778	3923
149	783	3915
150	787	3907
151	792	3898
152	796	3890
153	802	3887
154	807	3879
155	811	3872
156	818	3871
157	822	3864
158	827	3857
159	832	3849
160	837	3843
161	843	3841
162	849	3840
163	855	3837
164	860	3835
165	867	3834
166	871	3826
167	877	3823
168	883	3822
169	888	3813
170	894	3814
171	900	3809
172	905	3806
173	910	3799
174	916	3795
175	922	3795
176	927	3787
177	932	3784
178	937	3776
179	942	3770
180	948	3766
181	953	3760
182	958	3755
183	963	3748
184	967	3740
185	972	3734
186	978	3731
187	983	3724
188	988	3717
189	992	3710
190	997	3704
191	1002	3696
192	1006	3688
193	1011	3680
194	1016	3676
195	1021	3670
196	1026	3663
197	1031	3657
198	1036	3650
199	1043	3650
200	1048	3645
201	1053	3640
202	1059	3638
203	1064	3631
204	1069	3624
205	1075	3622
206	1079	3615
207	1084	3608
208	1089	3602
